"CCA1" "CCA5" "HCC6" "HCC23" "HCC10" "HCC24"
"C1orf112" 5.73518056479469 3.0051807589491 5.35282210182492 2.31022012096591 3.55974256880238 2.05638267555755
"TACC3" 5.23893393042687 4.98184658789822 5.46422434558857 5.22521647278671 5.86373120662366 7.24216175180375
"DEPDC1" 13.8747447236501 77.8731639368793 39.6788079594518 6.70531403800225 12.2903418672707 10.9182363362801
"POLQ" 31.5272696432621 38.1495991024136 26.2851992340809 5.17077751231933 11.1641151261146 5.87202563192905
"NDC1" 2.48410013649185 2.73891881575183 1.69781197292589 2.22508016877186 1.69922699249994 2.17813540040747
"PRR11" 6.6108004575534 19.2086214302021 5.53970997935845 3.66351804382528 3.51916393556295 7.59249415471831
"RAD18" 4.22703015296992 2.75280567577573 2.09914337207484 2.16618608356605 2.62041737291013 2.21665576221229
"HMMR" 7.201427478389 8.40308214675507 22.5869224984776 4.36624907036488 4.15047186319307 4.78413322268736
"WDR62" 5.46501092777186 8.64664854345723 17.9225493264733 5.66598653086991 5.6980784836663 8.26752778261919
"UBE2T" 2.99429595307063 2.58101828960341 2.67395479542407 2.25659021721595 2.80823848177177 2.75430834109957
"WDR76" 11.3228406701974 23.617108974536 39.3035434321418 3.85643476006977 3.2576480228129 4.93022123061654
"RNASEH2A" 2.88772651773578 5.07666942370062 3.00087613449431 1.92770532215971 2.2376899000024 1.8300723961171
"ASF1B" 7.74657598853747 32.9444179896377 10.4570443178876 5.79240629208397 8.72027068622483 5.61028746547999
"NUDT1" 2.13575088970452 3.40340431268012 2.6201514404121 1.79513646307683 1.45226592397173 1.71232074437044
"EZH2" 2.44057103266008 4.13844255028339 2.44059517874845 3.23121965003521 2.0202914434935 2.09820393983426
"NEIL3" 28.5903363514083 62.9625724198344 44.6574354743863 10.8997887233601 44.33216801721 19.8529475325282
"RAD51AP1" 12.2463713015836 25.5086160184294 31.1302084448896 5.21092575953984 9.44293342084946 7.2304443745949
"LMNB1" 8.15807420736377 16.0960068656305 10.655628968703 3.71108383441488 5.5159302653576 3.93903413186632
"PASK" 6.34993587860212 4.43498624221803 5.51584488453024 2.80998234576122 2.49064030422172 3.16792853488069
"TTF2" 2.32543626612611 2.13827533816701 2.62427108394641 1.76409199723076 2.62258228153853 2.42920856741393
"PHF19" 4.62519728716885 26.0410034620976 4.00303208737532 3.17971901623497 4.75662217371098 5.09477261715653
"EXOSC9" 2.56387242582202 2.52888688978804 2.04007657934229 1.83071570260756 1.61563814195667 1.65797724624341
"HIST1H1D" 12.5559441482858 86.7148311526665 21.0873543456209 5.38476689041412 3.73626755277217 7.01393227464971
"SLF1" 2.63872733579097 4.53398351372459 2.57291122770999 2.76820755484606 2.33316711393766 2.36919399369892
"TROAP" 16.1434748251488 14.044176474025 11.9078348267355 2.84828387216268 3.9757611404236 6.94327696062752
"TCF19" 3.8093113826038 12.7793331850416 11.468690848351 5.05528542017565 5.7602015963943 4.55224473872016
"NRM" 3.94056421917641 3.44000779331853 9.87757606512685 1.73475631037098 4.12066046323015 2.00428192696759
"ZGRF1" 5.27149283248777 11.4341619834518 17.2243426149763 2.31504152239169 2.25828985298828 3.7587853778643
"DIAPH3" 20.161697388446 23.519042618026 16.3001136062403 8.70945262710581 10.5715881880212 8.45289356903246
"CDCA7" 1.47701862288489 10.7232784920434 1.6650059113689 1.57970393694586 3.07529088417753 1.48462340909035
"FANCD2" 4.92207638827391 6.36949522930205 4.59028416784117 2.59344245387561 3.15029554582174 3.22961353884541
"MMS22L" 3.34438911743914 7.95408277234276 4.26874939818225 2.83026337942592 2.98706122897992 2.01124522229108
"MKI67" 5.02559542394055 23.3379327872323 9.08420175209529 4.6525363689687 4.32228500770841 8.4523036797562
"EME1" 14.286469462725 1.89137123664656 16.3476499809991 1.90277710355876 7.91321420135426 1.61949722303004
"ATAD2" 7.17571749714541 5.66936832075705 7.43645857569575 2.56770892606545 1.91368939722782 1.88030312691013
"RECQL4" 6.05769698270818 10.3529448684033 5.57956248145792 2.91119519952719 1.67656245037662 3.67414570143971
"CIP2A" 12.6051746924442 10.3228388547557 9.88252499521198 2.99306084891765 9.86437313957483 4.4511923769281
"POC1A" 6.83546008803983 14.1505239330431 8.73565094689284 3.13996526594977 5.57969099292569 3.92928911088811
"HMGB2" 2.36289514395299 3.50589985555276 2.88732413546293 2.47213890015811 2.88381419693053 2.6648738224896
"DDIAS" 33.3063670841712 20.7330979013407 34.4774024963798 4.81315423981799 5.32552334474631 6.99289738267389
"LRR1" 2.33680156931911 3.43399334419898 1.87697565762955 2.46996492379448 2.52616382216187 2.11123687317934
"PCLAF" 3.97257759422053 8.39694121567178 5.917811597332 2.66781462370245 3.90147683912806 3.51705341854749
"RRM1" 2.30768943457644 2.17523951723821 2.00869885601306 1.75448325155052 1.92996074371618 1.90598491041749
"TK1" 2.76683827001395 7.05314302670257 5.5117677455946 2.62031948974102 4.30682232974106 5.10281723607954
"CKAP2L" 18.173435524416 38.1489000685157 30.1887852577694 5.1055782428739 21.2747617876425 6.60414026229086
